Module,SubTopic,Front,Back
LM 1: Ethical Decision-Making,Framework Overview,What are the 4 steps of the Ethical Decision-Making Framework?,Identify -> Consider -> Act -> Reflect
LM 1: Ethical Decision-Making,Framework Overview,What is the primary goal of the 'Reflect' phase?,To learn from the outcome and strengthen future ethical judgment.
LM 1: Ethical Decision-Making,Framework Overview,True or False: The framework is only used for legal compliance.,False. It is for ethical dilemmas where rules may be ambiguous.
LM 1: Ethical Decision-Making,Framework Overview,What does the 'Act' phase include besides making a decision?,Elevating the issue to a supervisor or compliance officer.
LM 1: Ethical Decision-Making,Framework Overview,Why is 'Reflect' often neglected?,Because professionals want to move on quickly after a difficult decision.
LM 1: Ethical Decision-Making,Framework Overview,Does the framework guarantee a positive financial outcome?,No. It guarantees a decision aligned with professional integrity.
LM 1: Ethical Decision-Making,Framework Overview,When should you use the Framework?,When facing a situation with multiple duties or unclear rules (a 'gray area').
LM 1: Ethical Decision-Making,Framework Overview,Who is the primary beneficiary of the Framework?,The integrity of the capital markets (and ultimately the public).
LM 1: Ethical Decision-Making,Framework Overview,Is the framework linear or iterative?,Iterative. You may need to cycle back to 'Identify' as new facts emerge.
LM 1: Ethical Decision-Making,Framework Overview,Can 'Doing Nothing' be an active decision in the framework?,Yes, but it must be a conscious choice based on ethical analysis, not avoidance.
LM 1: Ethical Decision-Making,Identify Phase,What are the three key things to identify in Phase 1?,Facts, Stakeholders, and Duties.
LM 1: Ethical Decision-Making,Identify Phase,What is a 'Stakeholder'?,Anyone likely to be affected by the decision (client, employer, market, self).
LM 1: Ethical Decision-Making,Identify Phase,What is the 'Blind Spot' risk in this phase?,Failing to see the ethical dimension because of focus on other factors (like profit).
LM 1: Ethical Decision-Making,Identify Phase,True or False: You should only identify duties owed to the client.,False. You must also identify duties to the employer, the profession, and the markets.
LM 1: Ethical Decision-Making,Identify Phase,What type of information is crucial to gather here?,Relevant facts (and distinguishing facts from assumptions).
LM 1: Ethical Decision-Making,Identify Phase,If a conflict of interest exists, when should it be spotted?,Immediately in the Identify phase.
LM 1: Ethical Decision-Making,Identify Phase,What is 'Ethical Framing'?,How a situation is described (e.g., 'business decision' vs 'ethical decision') affects how we handle it.
LM 1: Ethical Decision-Making,Identify Phase,Why map out 'Duties'?,To see if duties to different stakeholders conflict (e.g., Duty to Client vs Duty to Boss).
LM 1: Ethical Decision-Making,Identify Phase,Is legal analysis part of this phase?,Yes, identifying applicable laws and standards is part of 'Facts'.
LM 1: Ethical Decision-Making,Identify Phase,What if facts are missing?,You must identify what you *don't* know and try to find it before moving on.
